,student.label,game.score,percent.training.sessions.attended,overall.fitness.score,X..extra.strategy.sessions.attended,hours.of.sleep.the.night.before.game,X..meals.on.day.prior.to.game,east coast,west coast,evening,morning,noon,early bird,night owl,baseball,basketball,curling,football,frisbee,gymnastics,martial arts,table tennis,frosh,junior,senior,sophomore
1,1,10.95,0.39,0.38,5,5,4,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2,2,35.08,0.75,0.51,9,10,3,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
3,3,9.47,0.68,0.17,3,5,5,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
4,4,32.55,0.68,0.84,3,12,6,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
5,5,49.35,0.93,0.69,9,5,4,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
6,6,17.9,0.51,0.33,4,5,6,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
7,7,21.01,0.62,0.05,8,2,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
8,8,8.46,0.19,0.54,7,12,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
9,9,12.38,0.45,0.62,2,9,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
10,10,8.64,0.37,0.35,6,2,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
11,11,71.13,0.59,0.89,9,11,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
12,12,41.87,0.66,0.35,3,4,5,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
13,13,61.59,0.6,0.69,8,7,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
14,14,35.22,0.39,0.06,6,3,4,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
15,15,64.33,0.95,0.39,10,10,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
16,16,37.63,0.03,0.02,3,5,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
17,17,51.37,0.92,0.53,8,3,5,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
18,18,36.2,0.34,0.47,2,3,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
19,19,53.03,0.38,0.45,7,5,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
