"","student.label","game.score","percent.training.sessions.attended","overall.fitness.score","X..extra.strategy.sessions.attended","hours.of.sleep.the.night.before.game","X..meals.on.day.prior.to.game","west coast","evening","morning","noon","early bird","night owl","baseball","basketball","curling","football","frisbee","gymnastics","martial arts","table tennis","frosh","junior","senior","sophomore"
"1",1,60.67,1,0.86,8,6,4,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"2",2,35.22,1,0.01,4,3,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"3",3,17.19,0.04,0,4,2,5,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"4",4,40.06,0.45,0.97,3,7,6,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"5",5,68.51,1,0.86,9,2,4,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"6",6,50.17,0.79,0.86,5,7,6,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"7",7,24.68,1,0,8,0,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"8",8,82.2,1,1,6,10,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"9",9,12.53,0.07,0.4,3,8,4,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"10",10,29.19,0,0,7,6,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"11",11,27,0,0.56,5,10,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"12",12,67.04,0.93,1,0,5,5,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"13",13,62.26,1,0.72,9,12,3,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"14",14,25.78,0.36,0.11,7,5,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"15",15,73.05,0.99,1,8,11,5,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"16",16,0.12,0.16,0.12,6,2,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"17",17,54.38,0.39,1,9,0,5,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"18",18,27.65,0.05,0.63,2,1,4,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"19",19,27.41,0,0,6,10,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"20",20,23.1,0,0.04,0,10,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"21",21,36.68,0,1,6,7,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"22",22,31.3,1,0,9,11,6,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"23",23,59.22,0.66,1,2,2,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"24",24,20.26,0,0.17,5,2,5,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"25",25,78.99,0.99,1,8,9,5,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"26",26,27.85,1,0.13,2,1,3,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"27",27,45.25,1,0.02,10,1,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"28",28,34.08,0.95,0.08,6,11,4,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"29",29,44.54,0.71,0.27,4,9,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"30",30,9.98,0,0.06,3,11,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"31",31,52.26,0.87,0.51,4,12,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"32",32,41.45,1,0.08,5,7,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"33",33,85.65,0.92,1,9,8,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"34",34,66.15,0.98,0.81,9,0,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"35",35,33.29,0.07,0.41,2,0,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"36",36,54.72,0.87,0.98,3,11,5,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"37",37,73.19,1,0.93,3,5,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"38",38,43.82,0,0.92,8,3,5,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"39",39,67.26,1,0.55,7,11,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"40",40,70.32,1,0.87,0,6,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"41",41,25.97,1,0.14,3,10,6,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"42",42,45.07,0.13,1,3,5,5,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"43",43,77.69,1,0.97,9,7,4,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"44",44,35.09,0.29,0.56,5,2,5,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"45",45,0,0.01,0.12,1,11,3,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"46",46,51.22,0.87,0.88,6,9,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"47",47,5.55,0.23,0.11,1,12,6,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"48",48,34.23,0.07,1,8,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"49",49,7.13,0.03,0,0,12,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"50",50,2.81,0,0.3,1,5,5,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"51",51,8.41,0.05,0,0,7,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"52",52,62.35,1,0.94,4,1,4,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"53",53,20.58,0.05,0.92,8,11,4,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"54",54,83.65,1,1,10,9,5,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"55",55,35.31,0,1,7,6,5,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"56",56,23.86,0.43,0.09,3,1,6,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"57",57,30.84,0.8,0.85,2,1,6,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"58",58,29.4,0.37,0,5,5,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
